Area_id,area,area_title,occ_title,tot_emp,h_mean,a_mean
296,45,South Carolina,Community and Social Service Occupations,"25,090",20.75,"43,170"
297,46,South Dakota,Community and Social Service Occupations,"6,780",19.44,"40,430"
298,47,Tennessee,Community and Social Service Occupations,"32,130",20.29,"42,200"
299,48,Texas,Community and Social Service Occupations,"117,090",23.77,"49,440"
300,49,Utah,Community and Social Service Occupations,"20,320",22.12,"46,020"
301,50,Vermont,Community and Social Service Occupations,"9,940",21.7,"45,140"
302,51,Virginia,Community and Social Service Occupations,"58,510",24.31,"50,570"
303,53,Washington,Community and Social Service Occupations,"48,550",24.87,"51,740"
304,54,West Virginia,Community and Social Service Occupations,"11,480",18.7,"38,890"
305,55,Wisconsin,Community and Social Service Occupations,"39,040",21.41,"44,540"
306,56,Wyoming,Community and Social Service Occupations,"4,000",23.48,"48,830"
307,1,Alabama,Legal Occupations,"10,060",41.71,"86,770"
308,2,Alaska,Legal Occupations,"2,170",45.25,"94,130"
309,4,Arizona,Legal Occupations,"20,320",46.45,"96,620"
310,5,Arkansas,Legal Occupations,"6,470",35.71,"74,290"
311,6,California,Legal Occupations,"135,520",62.77,"130,560"
312,8,Colorado,Legal Occupations,"22,540",54.54,"113,440"
313,9,Connecticut,Legal Occupations,"13,300",55.26,"114,940"
314,10,Delaware,Legal Occupations,"4,760",58.72,"122,140"
315,11,District of Columbia,Legal Occupations,"40,010",81.4,"169,310"
316,12,Florida,Legal Occupations,"88,420",45.54,"94,720"
317,13,Georgia,Legal Occupations,"33,410",48.8,"101,500"
318,15,Hawaii,Legal Occupations,"3,920",42.84,"89,110"
319,16,Idaho,Legal Occupations,"4,120",37.99,"79,020"
320,17,Illinois,Legal Occupations,"49,630",58.1,"120,850"
321,18,Indiana,Legal Occupations,"15,440",40.98,"85,250"
322,19,Iowa,Legal Occupations,"7,870",36.56,"76,040"
323,20,Kansas,Legal Occupations,"7,440",37.57,"78,140"
324,21,Kentucky,Legal Occupations,"10,140",38.36,"79,780"
325,22,Louisiana,Legal Occupations,"14,860",38.67,"80,430"
326,23,Maine,Legal Occupations,"3,660",37.99,"79,030"
327,24,Maryland,Legal Occupations,"25,320",45.4,"94,420"
328,25,Massachusetts,Legal Occupations,"29,810",62.53,"130,060"
329,26,Michigan,Legal Occupations,"25,880",41.58,"86,480"
330,27,Minnesota,Legal Occupations,"19,870",45.8,"95,250"
331,28,Mississippi,Legal Occupations,"5,720",35.75,"74,360"
332,29,Missouri,Legal Occupations,"18,650",42.84,"89,110"
333,30,Montana,Legal Occupations,"3,940",33.69,"70,070"
334,31,Nebraska,Legal Occupations,"5,230",39.24,"81,610"
335,32,Nevada,Legal Occupations,"8,680",51.13,"106,360"
336,33,New Hampshire,Legal Occupations,"3,330",46.11,"95,900"
337,34,New Jersey,Legal Occupations,"33,750",53.61,"111,510"
338,35,New Mexico,Legal Occupations,"5,500",39.75,"82,680"
339,36,New York,Legal Occupations,"114,010",65.45,"136,140"
340,37,North Carolina,Legal Occupations,"24,550",43.58,"90,650"
341,38,North Dakota,Legal Occupations,"2,640",37.36,"77,710"
342,39,Ohio,Legal Occupations,"33,630",43.84,"91,180"
343,40,Oklahoma,Legal Occupations,"12,580",41.86,"87,070"
344,41,Oregon,Legal Occupations,"12,820",43.89,"91,290"
345,42,Pennsylvania,Legal Occupations,"43,560",49.4,"102,750"
346,44,Rhode Island,Legal Occupations,"3,630",43.78,"91,070"
347,45,South Carolina,Legal Occupations,"13,800",35.13,"73,070"
348,46,South Dakota,Legal Occupations,"1,720",39.05,"81,210"
349,47,Tennessee,Legal Occupations,"14,620",44.05,"91,620"
350,48,Texas,Legal Occupations,"80,670",52,"108,160"
351,49,Utah,Legal Occupations,"9,800",39.39,"81,930"
